id,Gender,Age,Height,Weight,FAF,BMI,FAF_value,Fitness_level,Gender_v,BMI_Cat,S
31,male,29,1.77,83,0,26.49302563,0,Beginner,1,1,1.6
32,female,31,1.58,68,1 to 2,27.23922448,1.5,Intermediate,0,1,2.8
33,female,24,1.77,76,1 to 2,24.25867407,1.5,Advanced,0,0,3.6
34,male,39,1.79,90,0,28.08901095,0,Intermediate,1,1,2.6
35,male,22,1.65,62,3,22.77318641,2,Advanced,1,0,4
36,female,21,1.5,65,3,28.88888889,2,Intermediate,0,1,2.2
37,female,22,1.56,49,3,20.13477975,2,Advanced,0,0,3.8
38,female,21,1.6,48,1 to 2,18.75,1.5,Intermediate,0,0,3.3
39,male,23,1.65,67,1 to 2,24.6097337,1.5,Advanced,1,0,3.7
40,female,21,1.75,88,4 to 5,28.73469388,3.5,Intermediate,0,1,3.4
41,female,21,1.67,75,1 to 2,26.89232314,1.5,Beginner,0,1,1.8
42,male,23,1.68,60,0,21.2585034,0,Intermediate,1,0,2.5
43,female,21,1.66,64,0,23.22543185,0,Intermediate,0,0,2.1
44,male,21,1.66,62,1 to 2,22.4996371,1.5,Advanced,1,0,3.5
45,male,21,1.81,80,3,24.41927902,2,Advanced,1,0,3.9
46,female,21,1.53,65,0,27.76709812,0,Beginner,0,1,0.6
47,male,21,1.82,72,3,21.73650525,2,Advanced,1,0,3.9
48,male,21,1.75,72,3,23.51020408,2,Advanced,1,0,3.9
49,female,20,1.66,60,1 to 2,21.77384236,1.5,Intermediate,0,0,3.2
50,female,21,1.55,50,0,20.81165453,0,Intermediate,0,0,2.1
51,female,21,1.61,55,0,21.0254234,0,Intermediate,0,0,2.1
52,female,20,1.5,44,0,19.55555556,0,Intermediate,0,0,2
53,female,23,1.64,52,3,19.33372992,2,Advanced,0,0,3.9
54,female,23,1.63,55,3,20.70081674,2,Advanced,0,0,3.9
55,female,22,1.6,55,3,21.484375,2,Advanced,0,0,3.8
56,male,23,1.68,62,0,21.96712018,0,Intermediate,1,0,2.5
57,male,22,1.7,70,0,24.22145329,0,Intermediate,1,0,2.4
58,male,21,1.64,65,0,24.1671624,0,Intermediate,1,0,2.3
59,female,17,1.65,67,1 to 2,24.6097337,1.5,Intermediate,0,0,2.9
60,male,20,1.76,55,3,17.75568182,2,Advanced,1,-1,5.3
61,female,21,1.55,49,4 to 5,20.39542144,3.5,Advanced,0,0,4.9
62,male,20,1.65,58,4 to 5,21.30394858,3.5,Advanced,1,0,5
63,male,22,1.67,62,0,22.23098713,0,Intermediate,1,0,2.4
64,male,22,1.68,55,0,19.48696145,0,Intermediate,1,0,2.4
65,female,21,1.66,57,1 to 2,20.68515024,1.5,Intermediate,0,0,3.3
66,female,21,1.62,69,0,26.29172382,0,Beginner,0,1,0.6
67,male,23,1.8,90,0,27.77777778,0,Beginner,1,1,1
68,male,23,1.65,95,0,34.89439853,0,Beginner,1,1,1
69,male,30,1.76,112,0,36.15702479,0,Beginner,1,1,1.7
70,male,23,1.8,60,0,18.51851852,0,Intermediate,1,0,2.5
71,female,23,1.65,80,0,29.38475666,0,Beginner,0,1,0.8
72,female,22,1.67,50,3,17.92821543,2,Advanced,0,-1,5.3
73,female,24,1.65,60,1 to 2,22.03856749,1.5,Advanced,0,0,3.6
74,male,19,1.85,65,3,18.99196494,2,Advanced,1,0,3.7
75,male,24,1.7,85,0,29.41176471,0,Beginner,1,1,1.1
76,female,23,1.63,45,3,16.93703188,2,Advanced,0,-1,5.4
77,female,24,1.6,45,1 to 2,17.578125,1.5,Advanced,0,-1,5.1
78,female,24,1.7,80,0,27.6816609,0,Beginner,0,1,0.9
79,female,23,1.65,90,0,33.05785124,0,Beginner,0,1,0.8
80,male,23,1.65,60,0,22.03856749,0,Intermediate,1,0,2.5
81,female,19,1.63,58,0,21.8299522,0,Beginner,0,0,1.9
82,male,30,1.8,91,0,28.08641975,0,Beginner,1,1,1.7
83,male,23,1.67,86,0,30.65724838,0,Beginner,1,1,1
84,female,19,1.6,45,3,17.578125,2,Advanced,0,-1,5
85,male,25,1.7,83,0,28.71972318,0,Beginner,1,1,1.2
86,male,23,1.65,59,0,21.48760331,0,Intermediate,1,0,2.5
87,male,21,1.85,83,1 to 2,24.25127831,1.5,Advanced,1,0,3.5
88,male,19,1.82,87,0,26.26494385,0,Beginner,1,1,0.6
89,female,22,1.65,65,1 to 2,23.87511478,1.5,Intermediate,0,0,3.4
90,female,29,1.7,78,3,26.98961938,2,Intermediate,0,1,3
91,female,25,1.63,93,3,35.00319922,2,Intermediate,0,1,2.6
92,female,20,1.61,64,0,24.69040546,0,Intermediate,0,0,2
93,male,55,1.78,84,4 to 5,26.51180407,3.5,Beginner,1,1,0.3
94,female,20,1.6,57,1 to 2,22.265625,1.5,Intermediate,0,0,3.2
95,female,24,1.6,48,3,18.75,2,Advanced,0,0,4
96,male,26,1.7,70,3,24.22145329,2,Advanced,1,0,4.4
97,female,23,1.66,60,4 to 5,21.77384236,3.5,Advanced,0,0,5.1
98,female,21,1.52,42,0,18.17867036,0,Advanced,0,-1,3.6
99,female,21,1.52,42,0,18.17867036,0,Advanced,0,-1,3.6
100,male,23,1.72,70,4 to 5,23.66143862,3.5,Advanced,1,0,5.3
101,female,21,1.69,63,0,22.05805119,0,Intermediate,0,0,2.1
102,male,22,1.7,66,0,22.97577855,0,Intermediate,1,0,2.4
103,female,21,1.55,57,3,23.72528616,2,Advanced,0,0,3.7
104,female,22,1.65,58,1 to 2,21.30394858,1.5,Intermediate,0,0,3.4
105,female,38,1.56,80,0,32.8731098,0,Intermediate,0,1,2.3
106,female,25,1.57,55,3,22.31327843,2,Advanced,0,0,4.1
107,female,25,1.57,55,3,22.31327843,2,Advanced,0,0,4.1
108,male,22,1.88,90,0,25.46401086,0,Beginner,1,1,0.9
109,male,22,1.75,95,4 to 5,31.02040816,3.5,Advanced,1,1,3.7
110,female,21,1.65,88,3,32.32323232,2,Intermediate,0,1,2.2
111,male,21,1.75,75,0,24.48979592,0,Intermediate,1,0,2.3
112,female,22,1.58,58,0,23.23345618,0,Intermediate,0,0,2.2
113,female,18,1.56,51,1 to 2,20.9566075,1.5,Intermediate,0,0,3
114,female,22,1.5,49,4 to 5,21.77777778,3.5,Advanced,0,0,5
115,female,19,1.61,62,1 to 2,23.91883029,1.5,Intermediate,0,0,3.1
116,female,17,1.75,57,0,18.6122449,0,Beginner,0,0,1.7
117,female,15,1.65,86,4 to 5,31.58861341,3.5,Intermediate,0,1,2.8
118,female,17,1.7,85,1 to 2,29.41176471,1.5,Beginner,0,1,1.4
119,male,23,1.62,53,1 to 2,20.19509221,1.5,Advanced,1,0,3.7
120,female,19,1.63,76,3,28.60476495,2,Intermediate,0,1,2
121,female,23,1.67,75,0,26.89232314,0,Beginner,0,1,0.8
122,male,23,1.87,95,0,27.16691927,0,Beginner,1,1,1
123,male,21,1.75,50,1 to 2,16.32653061,1.5,Advanced,1,-1,5
124,male,24,1.66,67,1 to 2,24.31412397,1.5,Advanced,1,0,3.8
125,male,23,1.76,90,0,29.05475207,0,Beginner,1,1,1
126,male,18,1.75,80,0,26.12244898,0,Beginner,1,1,0.5
127,male,19,1.67,68,1 to 2,24.38237298,1.5,Intermediate,1,0,3.3
128,female,19,1.65,61,1 to 2,22.40587695,1.5,Intermediate,0,0,3.1
129,male,20,1.72,70,0,23.66143862,0,Intermediate,1,0,2.2
130,male,27,1.7,78,1 to 2,26.98961938,1.5,Intermediate,1,1,2.6
131,female,20,1.58,53,1 to 2,21.23057202,1.5,Intermediate,0,0,3.2
132,male,23,1.62,58,1 to 2,22.10028959,1.5,Advanced,1,0,3.7
133,female,19,1.65,56,1 to 2,20.56932966,1.5,Intermediate,0,0,3.1
134,female,61,1.65,66,1 to 2,24.24242424,1.5,Beginner,0,0,-0.6
135,male,30,1.77,109,3,34.79204571,2,Intermediate,1,1,3.3
136,male,24,1.7,75,1 to 2,25.95155709,1.5,Intermediate,1,1,2.3
137,male,25,1.79,72,1 to 2,22.47120876,1.5,Advanced,1,0,3.9
138,male,44,1.6,80,0,31.25,0,Beginner,1,1,-1.4
139,male,31,1.76,75,4 to 5,24.21229339,3.5,Advanced,1,0,6.1
140,male,25,1.7,68,0,23.52941176,0,Intermediate,1,0,2.7
141,male,23,1.89,65,1 to 2,18.19657904,1.5,Advanced,1,-1,5.2
142,male,25,1.87,66,3,18.8738597,2,Advanced,1,0,4.3
143,male,23,1.74,94,1 to 2,30.88254723,1.5,Intermediate,1,1,2.2
144,female,34,1.68,75,0,26.57312925,0,Beginner,0,1,1.9
145,male,22,1.61,67,3,25.84776822,2,Intermediate,1,1,2.5
146,male,21,1.62,70,1 to 2,26.6727633,1.5,Intermediate,1,1,2
147,female,24,1.56,51,3,20.9566075,2,Advanced,0,0,4
148,female,36,1.63,80,0,30.1102789,0,Intermediate,0,1,2.1
149,female,27,1.6,61,0,23.828125,0,Intermediate,0,0,2.7
150,female,32,1.67,90,3,32.27078777,2,Intermediate,0,1,3.3
151,male,25,1.78,78,3,24.61810377,2,Advanced,1,0,4.3
152,female,30,1.62,59,3,22.48132907,2,Advanced,0,0,4.6
153,female,38,1.5,60,0,26.66666667,0,Intermediate,0,1,2.3
154,male,34,1.69,84,3,29.41073492,2,Advanced,1,1,3.7
155,male,22,1.74,94,0,31.04769454,0,Beginner,1,1,0.9
156,female,31,1.68,63,1 to 2,22.32142857,1.5,Advanced,0,0,4.3
157,female,35,1.53,45,0,19.22337562,0,Advanced,0,0,3.5
158,male,21,1.67,60,3,21.51385851,2,Advanced,1,0,3.9
159,female,40,1.55,62,0,25.80645161,0,Intermediate,0,1,2.5
160,male,27,1.64,78,0,29.00059488,0,Beginner,1,1,1.4
161,male,20,1.83,72,3,21.49959688,2,Advanced,1,0,3.8
162,male,55,1.65,80,1 to 2,29.38475666,1.5,Beginner,1,1,-1.3
163,female,21,1.63,60,3,22.58270917,2,Advanced,0,0,3.7
164,male,25,1.89,75,4 to 5,20.99605274,3.5,Advanced,1,0,5.5
165,male,35,1.77,85,3,27.13141179,2,Advanced,1,1,3.8
166,male,30,1.92,130,1 to 2,35.26475694,1.5,Intermediate,1,1,2.9
167,female,29,1.74,72,0,23.78121284,0,Intermediate,0,0,2.9
168,male,20,1.65,80,1 to 2,29.38475666,1.5,Beginner,1,1,1.9
169,female,22,1.73,79,1 to 2,26.3958034,1.5,Beginner,0,1,1.9
170,female,45,1.63,77,0,28.98114344,0,Beginner,0,1,-1.7
171,male,22,1.72,82,3,27.71768524,2,Intermediate,1,1,2.5
172,male,18,1.6,58,1 to 2,22.65625,1.5,Intermediate,1,0,3.2
173,female,23,1.65,59,1 to 2,21.67125803,1.5,Advanced,0,0,3.5
174,male,18,1.74,64,0,21.13885586,0,Intermediate,1,0,2
175,male,21,1.62,70,1 to 2,26.6727633,1.5,Intermediate,1,1,2
176,female,38,1.64,60,3,22.23378941,2,Advanced,0,0,5.4
177,female,18,1.57,48,1 to 2,19.47340663,1.5,Intermediate,0,0,3
178,male,22,1.84,84,4 to 5,24.81096408,3.5,Advanced,1,0,5.2
179,male,26,1.91,84,3,23.0256846,2,Advanced,1,0,4.4
180,male,21,1.62,70,1 to 2,26.6727633,1.5,Intermediate,1,1,2
181,female,18,1.58,48,1 to 2,19.22768787,1.5,Intermediate,0,0,3
182,female,23,1.68,67,0,23.73866213,0,Intermediate,0,0,2.3
183,female,22,1.68,52,0,18.42403628,0,Advanced,0,-1,3.7
184,female,23,1.48,60,0,27.39225712,0,Beginner,0,1,0.8
185,male,21,1.62,70,1 to 2,26.6727633,1.5,Intermediate,1,1,2
186,female,31,1.62,68,1 to 2,25.91068435,1.5,Intermediate,0,1,2.8
187,male,39,1.78,96,1 to 2,30.29920465,1.5,Advanced,1,1,3.8
188,male,25,1.78,98,4 to 5,30.93043808,3.5,Advanced,1,1,4
189,male,35,1.78,105,4 to 5,33.13975508,3.5,Advanced,1,1,5
190,female,33,1.63,62,1 to 2,23.33546614,1.5,Advanced,0,0,4.5
191,male,20,1.6,56,1 to 2,21.875,1.5,Intermediate,1,0,3.4
192,male,26,1.75,80,3,26.12244898,2,Intermediate,1,1,2.9
193,male,20,1.83,85,4 to 5,25.38146854,3.5,Advanced,1,1,3.5
194,male,20,1.78,68,3,21.46193662,2,Advanced,1,0,3.8
195,female,23,1.6,83,4 to 5,32.421875,3.5,Advanced,0,1,3.6
196,male,19,1.8,85,1 to 2,26.2345679,1.5,Beginner,1,1,1.8
197,male,22,1.75,74,1 to 2,24.16326531,1.5,Advanced,1,0,3.6
198,male,41,1.75,118,0,38.53061224,0,Intermediate,1,1,2.8
199,female,18,1.59,40,0,15.82215893,0,Intermediate,0,-1,3.3
200,female,23,1.66,60,1 to 2,21.77384236,1.5,Advanced,0,0,3.5
201,female,23,1.63,83,1 to 2,31.23941436,1.5,Intermediate,0,1,2
202,female,41,1.54,80,0,33.73250126,0,Intermediate,0,1,2.6
203,female,26,1.56,102,0,41.91321499,0,Beginner,0,1,1.1
204,male,29,1.69,90,1 to 2,31.5115017,1.5,Intermediate,1,1,2.8
205,male,27,1.83,71,4 to 5,21.20099137,3.5,Advanced,1,0,5.7
206,female,23,1.6,78,1 to 2,30.46875,1.5,Intermediate,0,1,2
207,male,19,1.75,100,3,32.65306122,2,Intermediate,1,1,2.2
208,male,30,1.75,73,1 to 2,23.83673469,1.5,Advanced,1,0,4.4
209,female,22,1.69,65,1 to 2,22.75830678,1.5,Intermediate,0,0,3.4
210,female,22,1.69,65,1 to 2,22.75830678,1.5,Intermediate,0,0,3.4
211,male,20,1.8,114,0,35.18518519,0,Beginner,1,1,0.7
212,female,21,1.63,51,1 to 2,19.1953028,1.5,Intermediate,0,0,3.3
213,female,24,1.5,63,0,28,0,Beginner,0,1,0.9
214,male,21,1.8,62,1 to 2,19.13580247,1.5,Advanced,1,0,3.5
215,male,21,1.65,53,1 to 2,19.46740129,1.5,Advanced,1,0,3.5
216,male,21,1.68,70,0,24.8015873,0,Intermediate,1,0,2.3
217,female,23,1.6,63,4 to 5,24.609375,3.5,Advanced,0,0,5.1
218,male,21,1.71,75,4 to 5,25.64891762,3.5,Advanced,1,1,3.6
219,female,21,1.5,42,4 to 5,18.8,3.5,Advanced,0,0,4.9
220,female,21,1.6,68,1 to 2,26.5625,1.5,Beginner,0,1,1.8
221,female,21,1.75,78,0,25.46938776,0,Beginner,0,1,0.6
222,male,23,1.72,82,1 to 2,27.71768524,1.5,Intermediate,1,1,2.2
223,female,21,1.72,67,0,22.47836668,0,Intermediate,0,0,2.1
224,female,22,1.61,63,1 to 2,24.30461788,1.5,Intermediate,0,0,3.4
225,female,23,1.63,82,0,30.86303587,0,Beginner,0,1,0.8
226,male,25,1.83,121,3,36.13126698,2,Intermediate,1,1,2.8
227,female,20,1.6,50,0,19.53125,0,Intermediate,0,0,2
228,female,24,1.62,58,1 to 2,22.10028959,1.5,Advanced,0,0,3.6
229,female,40,1.68,80,0,28.3446712,0,Intermediate,0,1,2.5
230,male,32,1.75,120,0,39.18367347,0,Beginner,1,1,1.9
231,male,20,1.9,91,3,25.20775623,2,Intermediate,1,1,2.3
232,female,21,1.63,66,0,24.84098009,0,Intermediate,0,0,2.1
233,female,51,1.59,50,3,19.77769867,2,Beginner,0,0,0.8
234,female,34,1.68,77,1 to 2,27.28174603,1.5,Intermediate,0,1,3.1
235,female,19,1.59,49,3,19.38214469,2,Advanced,0,0,3.5
236,female,19,1.69,70,3,24.50894577,2,Advanced,0,0,3.5
237,female,21,1.66,59,4 to 5,21.41094498,3.5,Advanced,0,0,4.9
238,female,19,1.64,53,1 to 2,19.70553242,1.5,Intermediate,0,0,3.1
239,female,20,1.62,53,1 to 2,20.19509221,1.5,Intermediate,0,0,3.2
240,female,19,1.7,64,4 to 5,22.14532872,3.5,Advanced,0,0,4.7
241,female,17,1.63,65,1 to 2,24.4646016,1.5,Intermediate,0,0,2.9
242,male,22,1.6,66,4 to 5,25.78125,3.5,Advanced,1,1,3.7
243,female,20,1.63,64,0,24.08822312,0,Intermediate,0,0,2
244,male,33,1.85,99,1 to 2,28.92622352,1.5,Intermediate,1,1,3.2
245,female,21,1.54,49,3,20.66115702,2,Advanced,0,0,3.7
246,female,20,1.64,49,3,18.21832243,2,Advanced,0,-1,5.1
247,female,20,1.57,60,0,24.34175829,0,Intermediate,0,0,2
248,female,20,1.62,52,4 to 5,19.81405274,3.5,Advanced,0,0,4.8
249,male,21,1.72,72,4 to 5,24.33747972,3.5,Advanced,1,0,5.1
250,male,21,1.76,78,4 to 5,25.18078512,3.5,Advanced,1,1,3.6
251,female,20,1.65,75,1 to 2,27.54820937,1.5,Beginner,0,1,1.7
252,male,20,1.67,78,0,27.96801606,0,Beginner,1,1,0.7
253,male,56,1.79,90,1 to 2,28.08901095,1.5,Beginner,1,1,-1.4
254,female,26,1.59,47,0,18.59103675,0,Intermediate,0,0,2.6
255,female,22,1.64,56,0,20.82093992,0,Intermediate,0,0,2.2
256,male,19,1.78,81,4 to 5,25.56495392,3.5,Intermediate,1,1,3.4
257,male,18,1.75,85,1 to 2,27.75510204,1.5,Beginner,1,1,1.7
258,male,19,1.85,115,1 to 2,33.60116874,1.5,Beginner,1,1,1.8
259,male,18,1.7,80,1 to 2,27.6816609,1.5,Beginner,1,1,1.7
260,female,18,1.67,91,0,32.62935207,0,Beginner,0,1,0.3
261,male,21,1.72,75,1 to 2,25.35154137,1.5,Intermediate,1,1,2
262,female,28,1.7,73,3,25.25951557,2,Intermediate,0,1,2.9
263,male,18,1.74,70,1 to 2,23.1206236,1.5,Intermediate,1,0,3.2
264,male,23,1.74,53,4 to 5,17.50561501,3.5,Advanced,1,-1,6.8
265,male,18,1.87,67,1 to 2,19.15982728,1.5,Intermediate,1,0,3.2
266,male,18,1.7,50,3,17.30103806,2,Advanced,1,-1,5.1
267,female,39,1.65,50,0,18.36547291,0,Advanced,0,-1,5.4
268,male,38,1.7,78,0,26.98961938,0,Intermediate,1,1,2.5
269,male,17,1.67,60,0,21.51385851,0,Beginner,1,0,1.9
270,male,23,1.72,66,0,22.30935641,0,Intermediate,1,0,2.5
271,male,23,1.82,107,0,32.30286197,0,Beginner,1,1,1
272,female,19,1.5,50,0,22.22222222,0,Beginner,0,0,1.9
273,male,18,1.7,60,3,20.76124567,2,Advanced,1,0,3.6
274,male,25,1.71,71,0,24.28097534,0,Intermediate,1,0,2.7
275,female,25,1.61,61,3,23.53304271,2,Advanced,0,0,4.1
276,female,18,1.5,50,0,22.22222222,0,Beginner,0,0,1.8
277,male,16,1.67,50,1 to 2,17.92821543,1.5,Advanced,1,-1,4.5
278,male,21,1.82,67,4 to 5,20.22702572,3.5,Advanced,1,0,5.1
279,female,32,1.57,57,0,23.12467037,0,Intermediate,0,0,3.2
280,male,18,1.79,52,1 to 2,16.22920633,1.5,Advanced,1,-1,4.7
281,male,21,1.75,62,0,20.24489796,0,Intermediate,1,0,2.3
282,male,18,1.7,55,0,19.03114187,0,Intermediate,1,0,2
283,female,18,1.62,55,1 to 2,20.95717116,1.5,Intermediate,0,0,3
284,male,17,1.69,60,3,21.0076678,2,Advanced,1,0,3.5
285,male,20,1.77,70,1 to 2,22.34351559,1.5,Intermediate,1,0,3.4
286,male,21,1.79,105,0,32.77051278,0,Beginner,1,1,0.8
287,female,21,1.6,61,1 to 2,23.828125,1.5,Intermediate,0,0,3.3
288,female,18,1.6,58,4 to 5,22.65625,3.5,Advanced,0,0,4.6
289,female,17,1.56,51,0,20.9566075,0,Beginner,0,0,1.7
290,male,19,1.88,79,4 to 5,22.35174287,3.5,Advanced,1,0,4.9
291,male,16,1.82,71,3,21.43460935,2,Intermediate,1,0,3.4
292,male,17,1.8,58,3,17.90123457,2,Advanced,1,-1,5
293,male,21,1.7,65,1 to 2,22.49134948,1.5,Advanced,1,0,3.5
294,male,19,1.82,75,1 to 2,22.64219297,1.5,Intermediate,1,0,3.3
295,male,18,1.86,110,1 to 2,31.7955833,1.5,Beginner,1,1,1.7
296,female,16,1.66,58,0,21.04804761,0,Beginner,0,0,1.6
297,female,21,1.53,53,3,22.64086462,2,Advanced,0,0,3.7
298,male,26,1.74,80,3,26.42356982,2,Intermediate,1,1,2.9
299,male,18,1.8,80,0,24.69135802,0,Intermediate,1,0,2
300,male,23,1.7,75,1 to 2,25.95155709,1.5,Intermediate,1,1,2.2
301,male,26,1.7,70,0,24.22145329,0,Intermediate,1,0,2.8
302,male,18,1.72,55,3,18.59113034,2,Advanced,1,0,3.6
303,male,16,1.84,45,4 to 5,13.2915879,3.5,Advanced,1,-1,6.1
304,female,16,1.57,49,0,19.8791026,0,Beginner,0,0,1.6
305,male,20,1.8,85,3,26.2345679,2,Intermediate,1,1,2.3
306,male,23,1.75,120,3,39.18367347,2,Intermediate,1,1,2.6
307,female,24,1.56,60,0,24.65483235,0,Intermediate,0,0,2.4
308,female,23,1.59,48,0,18.98659072,0,Intermediate,0,0,2.3
309,male,20,1.8,75,3,23.14814815,2,Advanced,1,0,3.8
310,female,16,1.66,58,0,21.04804761,0,Beginner,0,0,1.6
311,male,17,1.79,57,3,17.78970694,2,Advanced,1,-1,5
312,male,17,1.72,62,4 to 5,20.9572742,3.5,Advanced,1,0,4.7
313,female,16,1.6,57,4 to 5,22.265625,3.5,Advanced,0,0,4.4
314,male,17,1.66,56,1 to 2,20.32225287,1.5,Intermediate,1,0,3.1
315,female,26,1.65,63,1 to 2,23.14049587,1.5,Advanced,0,0,3.8
316,male,26,1.7,72,0,24.91349481,0,Intermediate,1,0,2.8
317,male,38,1.75,75,3,24.48979592,2,Advanced,1,0,5.6
318,male,18,1.75,70,1 to 2,22.85714286,1.5,Intermediate,1,0,3.2
319,female,25,1.56,45,0,18.49112426,0,Advanced,0,-1,4
320,female,27,1.55,63,0,26.2226847,0,Beginner,0,1,1.2
321,male,21,1.67,67,1 to 2,24.02380867,1.5,Advanced,1,0,3.5
322,male,38,1.75,75,4 to 5,24.48979592,3.5,Advanced,1,0,6.8
323,female,23,1.75,56,3,18.28571429,2,Advanced,0,-1,5.4
324,male,18,1.8,72,4 to 5,22.22222222,3.5,Advanced,1,0,4.8
325,female,30,1.65,71,0,26.07897153,0,Beginner,0,1,1.5
326,female,21,1.55,58,1 to 2,24.14151925,1.5,Intermediate,0,0,3.3
327,male,18,1.7,55,4 to 5,19.1349481,3.5,Advanced,1,0,4.8
328,male,23,1.72,76,0,25.68956193,0,Beginner,1,1,1
329,male,19,1.74,74,4 to 5,24.44180209,3.5,Advanced,1,0,4.9
330,female,19,1.65,82,0,30.11937557,0,Beginner,0,1,0.4
331,female,17,1.8,50,3,15.43209877,2,Advanced,0,-1,4.8
332,male,17,1.74,56,3,18.49649888,2,Advanced,1,-1,5
333,male,27,1.85,75,1 to 2,21.9138057,1.5,Advanced,1,0,4.1
334,female,23,1.7,56,4 to 5,19.37716263,3.5,Advanced,0,0,5.1
335,female,18,1.45,53,1 to 2,25.20808561,1.5,Beginner,0,1,1.5
336,male,19,1.7,50,3,17.30103806,2,Advanced,1,-1,5.2
337,male,20,1.7,65,0,22.49134948,0,Intermediate,1,0,2.2
338,male,18,1.78,64,4 to 5,20.32571645,3.5,Advanced,1,0,4.8
339,female,17,1.6,65,1 to 2,25.390625,1.5,Beginner,0,1,1.4
340,female,19,1.53,42,3,17.94181725,2,Advanced,0,-1,5
341,male,21,1.8,72,1 to 2,22.22222222,1.5,Advanced,1,0,3.5
342,male,20,1.6,50,0,19.53125,0,Intermediate,1,0,2.2
343,male,23,1.74,105,1 to 2,34.68093539,1.5,Intermediate,1,1,2.2
344,male,23,1.65,66,4 to 5,24.24242424,3.5,Advanced,1,0,5.3
345,male,18,1.87,173,3,49.47238983,2,Intermediate,1,1,2.1
346,male,17,1.7,55,4 to 5,19.03114187,3.5,Advanced,1,0,4.7
347,female,21,1.54,47,3,19.81784449,2,Advanced,0,0,3.7
348,male,17,1.8,97,1 to 2,29.9382716,1.5,Beginner,1,1,1.6
349,male,18,1.82,80,4 to 5,24.1516725,3.5,Advanced,1,0,4.8
350,male,20,1.98,125,1 to 2,31.88450158,1.5,Beginner,1,1,1.9
351,male,17,1.75,70,4 to 5,22.85714286,3.5,Advanced,1,0,4.7
352,female,26,1.65,60,3,22.03856749,2,Advanced,0,0,4.2
353,female,17,1.6,53,3,20.703125,2,Intermediate,0,0,3.3
354,female,24,1.6,51,0,19.921875,0,Intermediate,0,0,2.4
355,female,17,1.6,59,1 to 2,23.046875,1.5,Intermediate,0,0,2.9
356,female,27,1.55,62,1 to 2,25.80645161,1.5,Intermediate,0,1,2.4
357,male,17,1.9,60,4 to 5,16.62049861,3.5,Advanced,1,-1,6.2
358,female,17,1.7,56,1 to 2,19.37716263,1.5,Intermediate,0,0,2.9
359,male,41,1.75,110,1 to 2,35.91836735,1.5,Advanced,1,1,4
360,female,33,1.56,48,1 to 2,19.72386588,1.5,Advanced,0,0,4.5
361,male,20,1.87,75,1 to 2,21.44756785,1.5,Intermediate,1,0,3.4
362,female,40,1.56,80,3,32.8731098,2,Advanced,0,1,4.1
363,female,37,1.65,73,1 to 2,26.81359045,1.5,Intermediate,0,1,3.4
364,male,19,1.8,80,3,24.69135802,2,Advanced,1,0,3.7
365,male,24,1.84,86,3,25.40170132,2,Intermediate,1,1,2.7
366,male,24,1.7,68,0,23.52941176,0,Intermediate,1,0,2.6
367,male,33,1.72,83,4 to 5,28.05570579,3.5,Advanced,1,1,4.8
